obligation_id	claim	owning_authority	implementation	positive_evidence	negative_control	mutation_control	gate	status
M1-01	M0 is accepted and M1 Source Diet is the sole active work.	.review/M1_SOURCE_DIET.md	tools/fcb-reference-gate.py:check_declaration_sites	.review/NEXT_STEPS.md:IS THE SOLE ACTIVE WORK	tools/fcb-reference-gate.py:NEXT_STEPS names no active repair	tools/gate-mutation-test.py:structural declarations must name an authority	Makefile:fcb	closed
M1-02	One immutable exact-ref baseline records every required metric and every baseline file.	.review/M1_BASELINE.tsv	tools/source-diet.py:check_baseline	.review/M1_BASELINE.tsv:baseline_sha256	tools/source-diet.py:a baseline metric changed after capture	tools/gate-mutation-test.py:the baseline seal	Makefile:diet	closed
M1-03	Every baseline and M1-created file has one checked disposition and one present purpose.	.review/M1_FILE_DISPOSITION.tsv	pending: the file-disposition relation proved as M1 exit evidence only, with the permanent path no longer reading it	pending: the file-disposition relation proved as M1 exit evidence only, with the permanent path no longer reading it	pending: the file-disposition relation proved as M1 exit evidence only, with the permanent path no longer reading it	pending: the file-disposition relation proved as M1 exit evidence only, with the permanent path no longer reading it	pending: the file-disposition relation proved as M1 exit evidence only, with the permanent path no longer reading it	open
M1-04	Every default .v comment obeys the one-line, 120-character, one-sentence current-fact law.	.review/M1_SOURCE_DIET.md	tools/source-diet.py:scan_v	.review/M1_SOURCE_DIET.md:necessary, never sufficient	tools/source-diet.py:a 121-character comment	tools/gate-mutation-test.py:the default-comment law	Makefile:diet	closed
M1-05	Every longer .v comment has one exact bidirectional exception-ledger row.	.review/M1_COMMENT_EXCEPTIONS.tsv	tools/source-diet.py:check_exceptions	.review/M1_COMMENT_EXCEPTIONS.tsv:comment_sha256	tools/source-diet.py:an unledgered exception	tools/gate-mutation-test.py:the orphan half of the exception relation	Makefile:diet	closed
M1-06	No .v comment contains archaeology, placeholders, compatibility prose, or split-paragraph evasion.	.review/M1_SOURCE_DIET.md	tools/source-diet.py:logical_blocks	.review/M1_SOURCE_DIET.md:proof-case labels	tools/source-diet.py:a proof-case label	tools/gate-mutation-test.py:proof-case label rejection	Makefile:diet	closed
M1-07	Every deleted file has one exact disposition and no surviving current consumer.	.review/M1_FILE_DISPOSITION.tsv	tools/source-diet.py:check_disposition	.review/M1_FILE_DISPOSITION.tsv:history-only	tools/source-diet.py:a deleted file still present	tools/gate-mutation-test.py:the disposition action relation	Makefile:diet	closed
M1-08	Every deleted declaration has one exact disposition and is not an accepted public guarantee.	.review/M1_DECLARATION_DELETIONS.tsv	tools/source-diet.py:check_declaration_ledger	.review/M1_DECLARATION_DELETIONS.tsv:no-current-consumer	tools/source-diet.py:a ledger row for a declaration still present	tools/gate-mutation-test.py:the still-declared check	Makefile:diet	closed
M1-09	Current FCB and operational documents retain every owned rule while duplicate history and state are removed.	.review/M1_SOURCE_DIET.md	tools/fcb-reference-gate.py:check_corpus_declared	README.md:Emit.Mint.issue	tools/fcb-reference-gate.py:active repair names a dangling path under a dot namespace	tools/gate-mutation-test.py:live-set declaration closure	Makefile:fcb	closed
M1-10	No surviving Rocq declaration, proof, semantic authority, constructor, mint, program set, or diagnostic changes.	.review/M1_SOURCE_DIET.md	tools/source-diet.py:declaration_blocks	.review/M1_DECLARATION_DELETIONS.tsv:package_ref_eq_dec	tools/source-diet.py:a deleted declaration beside a Hint	tools/gate-mutation-test.py:declaration ownership of the following commands	Makefile:diet	closed
